,Player Name,Team,Position,Assists,Bonus,Bonus Points System,Clean sheets,Cost,Creativity,Form,Goals conceded,Goals scored,ICT Index,Influence,Minutes played,Own goals,Penalties missed,Penalties saved,Points per match,Price fall,Price fall (round),Price rise,Price rise (round),Pts.,Red cards,Round points,Saves,Sel.,Threat,Times in Dream Team,Transfers in,Transfers in (round),Transfers out,Transfers out (round),Value (form),Value (season),Yellow cards, 
KingBOUFWD,King,BOU,FWD,3.0,20.0,457.0,10.0,6.5,535.7,0.0,57.0,12.0,223.8,655.4,2963.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,20.9%,1058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
KingLEIMID,King,LEI,MID,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
KloseNORDEF,Klose,NOR,DEF,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
KnockaertBHAMID,Knockaert,BHA,MID,6.0,2.0,293.0,3.0,5.5,580.8,0.0,41.0,2.0,131.4,389.6,1828.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,74.0,1.0,0.0,0.0,0.0%,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
KodjiaAVLFWD,Kodjia,AVL,FWD,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
KolasinacARSDEF,Kolasinac,ARS,DEF,7.0,10.0,382.0,5.0,5.5,445.9,0.0,29.0,0.0,101.0,323.2,1886.0,1.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,2.2%,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
KonsaAVLDEF,Konsa,AVL,DEF,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
KoscielnyARSDEF,Koscielny,ARS,DEF,0.0,8.0,319.0,3.0,5.0,29.5,0.0,23.0,3.0,59.1,456.4,1329.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.6%,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
KouyatéCRYMID,Kouyaté,CRY,MID,3.0,0.0,251.0,9.0,5.0,198.5,0.0,30.0,0.0,75.6,337.4,1889.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.2%,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
KovacicCHEMID,Kovacic,CHE,MID,2.0,2.0,343.0,9.0,5.5,468.8,0.0,19.0,0.0,109.9,315.4,1725.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.9%,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
KrulNORGKP,Krul,NOR,GKP,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LacazetteARSFWD,Lacazette,ARS,FWD,12.0,20.0,560.0,6.0,9.5,482.4,0.0,31.0,13.0,260.6,808.0,2497.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,5.0%,1319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
LallanaLIVMID,Lallana,LIV,MID,1.0,0.0,96.0,3.0,6.0,139.0,0.0,3.0,0.0,33.8,85.4,460.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.1%,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
LamelaTOTMID,Lamela,TOT,MID,4.0,5.0,231.0,4.0,6.0,339.9,0.0,12.0,4.0,104.1,263.8,965.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.7%,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
LansburyAVLMID,Lansbury,AVL,MID,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LanziniWHUMID,Lanzini,WHU,MID,2.0,3.0,148.0,2.0,6.5,118.2,0.0,12.0,1.0,42.4,141.0,685.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1.1%,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
LaporteMCIDEF,Laporte,MCI,DEF,3.0,16.0,768.0,18.0,6.5,239.3,0.0,21.0,3.0,131.2,790.0,3056.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,10.0%,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
LascellesNEWDEF,Lascelles,NEW,DEF,1.0,8.0,539.0,10.0,4.5,46.8,0.0,36.0,0.0,79.6,632.4,2745.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,8.7%,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
LeitnerNORMID,Leitner,NOR,MID,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LejeuneNEWDEF,Lejeune,NEW,DEF,0.0,0.0,209.0,4.0,4.5,82.5,0.0,13.0,0.0,35.3,211.6,1054.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0%,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LeminaSOUMID,Lemina,SOU,MID,2.0,2.0,270.0,4.0,5.0,214.7,0.0,37.0,1.0,71.6,313.0,1612.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.2%,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
LennonBURMID,Lennon,BUR,MID,1.0,2.0,133.0,3.0,5.0,121.2,0.0,22.0,1.0,38.0,151.6,1214.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.1%,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
LenoARSGKP,Leno,ARS,GKP,0.0,5.0,568.0,6.0,5.0,0.0,0.0,42.0,0.0,80.5,807.2,2835.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,106.0,0.0,0.0,105.0,4.8%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LermaBOUMID,Lerma,BOU,MID,2.0,6.0,410.0,9.0,5.0,245.8,0.0,49.0,2.0,96.2,539.6,2505.0,1.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.2%,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,
Lewis CookBOUMID,Lewis Cook,BOU,MID,0.0,0.0,91.0,3.0,5.0,50.4,0.0,10.0,0.0,16.5,76.0,719.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0%,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
LewisNORDEF,Lewis,NOR,DEF,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LindelöfMUNDEF,Lindelöf,MUN,DEF,1.0,9.0,527.0,6.0,5.5,75.3,0.0,40.0,1.0,72.8,533.0,2600.0,1.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,1.4%,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
LingardMUNMID,Lingard,MUN,MID,3.0,5.0,270.0,3.0,6.5,306.1,0.0,26.0,4.0,101.1,310.0,1657.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.4%,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
LlorisTOTGKP,Lloris,TOT,GKP,0.0,10.0,691.0,12.0,5.5,0.0,0.0,33.0,0.0,86.0,858.2,2970.0,0.0,0.0,2.0,4.4,0.0,0.0,0.0,0.0,145.0,0.0,0.0,100.0,9.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LocadiaBHAFWD,Locadia,BHA,FWD,0.0,6.0,155.0,3.0,5.5,190.8,0.0,21.0,2.0,69.7,154.4,1225.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.4%,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
Loftus-CheekCHEMID,Loftus-Cheek,CHE,MID,2.0,6.0,292.0,5.0,6.5,254.9,0.0,9.0,6.0,99.4,391.6,980.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.1%,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LongBURDEF,Long,BUR,DEF,1.0,0.0,101.0,1.0,4.5,11.6,0.0,9.0,0.0,16.8,147.8,513.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.1%,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LongSOUFWD,Long,SOU,FWD,2.0,5.0,191.0,2.0,5.0,179.2,0.0,24.0,5.0,84.2,248.6,1260.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,6.2%,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
LongstaffNEWMID,Longstaff,NEW,MID,1.0,1.0,117.0,3.0,5.0,71.8,0.0,9.0,1.0,30.9,130.4,686.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.8%,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
LookmanEVEMID,Lookman,EVE,MID,3.0,0.0,110.0,1.0,5.0,172.1,0.0,8.0,0.0,51.6,131.4,600.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0%,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LovrenLIVDEF,Lovren,LIV,DEF,1.0,9.0,258.0,6.0,5.5,29.1,0.0,7.0,1.0,35.7,255.8,986.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.3%,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
LowtonBURDEF,Lowton,BUR,DEF,0.0,1.0,269.0,4.0,4.5,158.6,0.0,41.0,0.0,54.6,338.0,1748.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.3%,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,
Lucas MouraTOTMID,Lucas Moura,TOT,MID,2.0,8.0,340.0,14.0,7.5,415.6,0.0,18.0,10.0,161.9,556.4,2115.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,10.3%,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
LukakuMUNFWD,Lukaku,MUN,FWD,1.0,14.0,361.0,4.0,8.5,330.2,0.0,38.0,12.0,193.5,550.6,2126.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,1.9%,1052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
LundstramSHUDEF,Lundstram,SHU,DEF,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
LösslEVEGKP,Lössl,EVE,GKP,1.0,9.0,541.0,5.0,4.5,40.3,0.0,54.0,0.0,80.7,764.2,2777.0,0.0,0.0,1.0,3.2,0.0,0.0,0.0,0.0,99.0,0.0,0.0,88.0,0.7%,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
MaddisonLEIMID,Maddison,LEI,MID,7.0,12.0,619.0,8.0,7.0,1515.0,0.0,44.0,7.0,308.4,801.4,2831.0,0.0,1.0,0.0,3.8,0.0,0.0,0.0,0.0,137.0,1.0,0.0,0.0,11.2%,769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
MaguireMUNDEF,Maguire,MUN,DEF,1.0,10.0,533.0,6.0,5.5,165.3,0.0,41.0,3.0,134.3,715.8,2596.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,92.0,1.0,0.0,0.0,17.3%,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,
MahrezMCIMID,Mahrez,MCI,MID,4.0,14.0,349.0,4.0,8.5,450.8,0.0,9.0,7.0,164.1,459.4,1331.0,0.0,1.0,0.0,3.8,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,1.2%,731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Maitland-NilesARSDEF,Maitland-Niles,ARS,DEF,1.0,3.0,152.0,2.0,5.0,98.9,0.0,20.0,1.0,44.8,224.2,983.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,34.0,1.0,0.0,0.0,1.0%,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
ManquilloNEWDEF,Manquillo,NEW,DEF,3.0,5.0,231.0,4.0,4.5,127.3,0.0,16.0,0.0,38.8,231.0,1098.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.2%,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
ManéLIVMID,Mané,LIV,MID,3.0,24.0,703.0,19.0,11.5,692.8,0.0,21.0,22.0,304.0,1015.8,3076.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,231.0,0.0,0.0,0.0,16.8%,1332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
MarchBHAMID,March,BHA,MID,6.0,5.0,342.0,6.0,5.0,684.5,0.0,40.0,1.0,156.6,474.6,2459.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.6%,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
MariappaWATDEF,Mariappa,WAT,DEF,0.0,2.0,334.0,5.0,4.5,61.9,0.0,32.0,0.0,54.5,404.6,1924.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.3%,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
MartialMUNMID,Martial,MUN,MID,4.0,13.0,389.0,5.0,7.5,503.3,0.0,25.0,10.0,178.9,532.8,1613.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,4.9%,755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
MartinelliARSFWD,Martinelli,ARS,FWD,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MartínezARSGKP,Martínez,ARS,GKP,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MasinaWATDEF,Masina,WAT,DEF,1.0,1.0,165.0,2.0,4.5,70.8,0.0,20.0,0.0,30.1,201.0,1002.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.1%,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
MasuakuWHUDEF,Masuaku,WHU,DEF,2.0,0.0,311.0,4.0,4.5,212.0,0.0,29.0,0.0,70.3,434.4,1757.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.5%,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
MataMUNMID,Mata,MUN,MID,4.0,7.0,274.0,5.0,6.5,464.0,0.0,15.0,3.0,98.6,258.4,1284.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.5%,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
MaticMUNMID,Matic,MUN,MID,0.0,2.0,371.0,6.0,5.0,247.9,0.0,37.0,1.0,90.9,477.6,2437.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,59.0,1.0,0.0,0.0,0.6%,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,
MatipLIVDEF,Matip,LIV,DEF,0.0,7.0,402.0,9.0,5.5,57.9,0.0,12.0,1.0,55.9,414.6,1535.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,1.2%,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
MaupayBHAFWD,Maupay,BHA,FWD,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MavropanosARSDEF,Mavropanos,ARS,DEF,0.0,0.0,28.0,0.0,4.5,14.1,0.0,1.0,0.0,5.2,27.0,147.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1%,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
McArthurCRYMID,McArthur,CRY,MID,7.0,7.0,500.0,11.0,5.5,457.2,0.0,49.0,3.0,161.3,666.8,3057.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,2.1%,487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,
McBurnieSHUFWD,McBurnie,SHU,FWD,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
McCarthyEVEMID,McCarthy,EVE,MID,0.0,0.0,3.0,0.0,4.5,0.1,0.0,0.0,0.0,0.5,5.2,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
McCarthySOUGKP,McCarthy,SOU,GKP,0.0,6.0,414.0,4.0,4.5,0.0,0.0,44.0,0.0,58.6,585.2,2250.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,73.0,0.0,0.0,78.0,0.9%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
McGinnAVLMID,McGinn,AVL,MID,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
McGoldrickSHUFWD,McGoldrick,SHU,FWD,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
McGovernNORGKP,McGovern,NOR,GKP,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
McLeanNORMID,McLean,NOR,MID,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
McNeilBURMID,McNeil,BUR,MID,4.0,6.0,305.0,5.0,6.0,442.8,0.0,25.0,3.0,112.5,405.2,1590.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.5%,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
McTominayMUNMID,McTominay,MUN,MID,0.0,4.0,152.0,1.0,5.0,33.1,0.0,18.0,2.0,38.8,175.4,862.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.7%,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
MeeBURDEF,Mee,BUR,DEF,2.0,5.0,572.0,8.0,5.0,113.8,0.0,68.0,0.0,123.9,885.4,3420.0,2.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.9%,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,
MendyLEIMID,Mendy,LEI,MID,1.0,0.0,291.0,7.0,4.5,135.5,0.0,29.0,0.0,39.5,235.8,2085.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,1.2%,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
MendyMCIDEF,Mendy,MCI,DEF,6.0,6.0,262.0,4.0,6.0,222.7,0.0,6.0,0.0,54.2,250.8,900.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.7%,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
MephamBOUDEF,Mepham,BOU,DEF,1.0,0.0,158.0,2.0,4.5,24.1,0.0,17.0,0.0,22.5,177.2,848.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.2%,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
MeyerCRYMID,Meyer,CRY,MID,3.0,0.0,223.0,6.0,5.5,309.9,0.0,24.0,1.0,98.0,236.0,1405.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.2%,433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
MignoletLIVGKP,Mignolet,LIV,GKP,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MilivojevicCRYMID,Milivojevic,CRY,MID,2.0,24.0,741.0,12.0,7.0,910.1,0.0,53.0,12.0,246.3,1078.2,3420.0,0.0,1.0,0.0,4.4,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,9.9%,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,
MilnerLIVMID,Milner,LIV,MID,5.0,12.0,448.0,9.0,5.5,725.2,0.0,13.0,5.0,169.2,587.2,1778.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,101.0,1.0,0.0,0.0,0.8%,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
MinaEVEDEF,Mina,EVE,DEF,0.0,2.0,176.0,3.0,5.5,37.5,0.0,13.0,1.0,29.6,198.2,891.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.7%,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
MingsAVLDEF,Mings,AVL,DEF,0.0,0.0,41.0,0.0,4.5,16.3,0.0,4.0,0.0,6.8,49.0,141.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.8%,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MkhitaryanARSMID,Mkhitaryan,ARS,MID,4.0,12.0,354.0,3.0,7.0,454.9,0.0,26.0,6.0,150.2,446.4,1637.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,2.7%,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
MonrealARSDEF,Monreal,ARS,DEF,4.0,7.0,392.0,5.0,5.0,196.6,0.0,24.0,1.0,83.4,413.2,1860.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,1.1%,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
MontoyaBHADEF,Montoya,BHA,DEF,1.0,1.0,351.0,3.0,4.5,289.2,0.0,41.0,0.0,78.6,437.6,2166.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.5%,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
MooreSHUGKP,Moore,SHU,GKP,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MorganLEIDEF,Morgan,LEI,DEF,0.0,7.0,365.0,6.0,4.5,40.1,0.0,28.0,3.0,80.5,471.0,1924.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,76.0,2.0,0.0,0.0,1.5%,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
MorrisonSHUMID,Morrison,SHU,MID,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
